02-Dec-21 22:51:42 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 5, ack 93, win 8, length 1 
02-Dec-21 22:51:42 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 93, ack 6, win 8, length 4 
02-Dec-21 22:51:42 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 97, ack 6, win 8, length 4 
02-Dec-21 22:51:42 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 101, ack 6, win 8, length 4 
02-Dec-21 22:51:42 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 105, ack 6, win 8, length 4 
02-Dec-21 22:51:42 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 109, ack 6, win 8, length 4 
02-Dec-21 22:51:42 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 113, ack 6, win 8, length 4 
02-Dec-21 22:51:42 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 117, ack 6, win 8, length 4 
02-Dec-21 22:51:42 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 121, ack 6, win 8, length 4 
02-Dec-21 22:51:51 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 6, ack 97, win 8, length 1 
02-Dec-21 22:51:52 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 6, ack 101, win 8, length 1 
02-Dec-21 22:51:53 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 6, ack 105, win 8, length 1 
02-Dec-21 22:51:54 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 6, ack 109, win 8, length 1 
02-Dec-21 22:51:55 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 6, ack 113, win 8, length 1 
02-Dec-21 22:51:56 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 6, ack 117, win 8, length 1 
02-Dec-21 22:51:57 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 6, ack 121, win 8, length 1 
02-Dec-21 22:51:58 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 6, ack 125, win 8, length 1 
02-Dec-21 22:51:58 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 125, ack 7, win 8, length 4 
02-Dec-21 22:51:58 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 129, ack 7, win 8, length 4 
02-Dec-21 22:51:58 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 133, ack 7, win 8, length 4 
02-Dec-21 22:51:58 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 137, ack 7, win 8, length 4 
02-Dec-21 22:51:58 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 141, ack 7, win 8, length 4 
02-Dec-21 22:51:58 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 145, ack 7, win 8, length 4 
02-Dec-21 22:51:58 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 149, ack 7, win 8, length 4 
02-Dec-21 22:51:58 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 153, ack 7, win 8, length 4 
02-Dec-21 22:52:07 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 7, ack 129, win 8, length 1 
02-Dec-21 22:52:08 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 7, ack 133, win 8, length 1 
02-Dec-21 22:52:09 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 7, ack 137, win 8, length 1 
02-Dec-21 22:52:10 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 7, ack 141, win 8, length 1 
02-Dec-21 22:52:11 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 7, ack 145, win 8, length 1 
02-Dec-21 22:52:12 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 7, ack 149, win 8, length 1 
02-Dec-21 22:52:13 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 7, ack 153, win 8, length 1 
02-Dec-21 22:52:14 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 7, ack 157, win 8, length 1 
02-Dec-21 22:52:14 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 157, ack 8, win 8, length 4 
02-Dec-21 22:52:14 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 161, ack 8, win 8, length 4 
02-Dec-21 22:52:14 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 165, ack 8, win 8, length 4 
02-Dec-21 22:52:14 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 169, ack 8, win 8, length 4 
02-Dec-21 22:52:14 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 173, ack 8, win 8, length 4 
02-Dec-21 22:52:14 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 177, ack 8, win 8, length 4 
02-Dec-21 22:52:14 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 181, ack 8, win 8, length 4 
02-Dec-21 22:52:14 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 185, ack 8, win 8, length 4 
02-Dec-21 22:52:23 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 8, ack 161, win 8, length 1 
02-Dec-21 22:52:24 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 8, ack 165, win 8, length 1 
02-Dec-21 22:52:25 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 8, ack 169, win 8, length 1 
02-Dec-21 22:52:26 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 8, ack 173, win 8, length 1 
02-Dec-21 22:52:27 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 8, ack 177, win 8, length 1 
02-Dec-21 22:52:28 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 8, ack 181, win 8, length 1 
02-Dec-21 22:52:29 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 8, ack 185, win 8, length 1 
02-Dec-21 22:52:30 - IP 192.168.1.200:7005 > 192.168.1.88:7005: Flags [.], seq 8, ack 189, win 8, length 1 
02-Dec-21 22:52:30 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 189, ack 9, win 8, length 4 
02-Dec-21 22:52:30 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 193, ack 9, win 8, length 4 
02-Dec-21 22:52:30 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 197, ack 9, win 8, length 4 
02-Dec-21 22:52:30 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 201, ack 9, win 8, length 4 
02-Dec-21 22:52:30 - IP 192.168.1.88:7005 > 192.168.1.200:7005: Flags [P.], seq 205, ack 9, win 8, length 1 
